88134:
 num     #instances         #bytes  class name (module)
 169:            11            264  java.util.Arrays$ArrayList (java.base@26.0.1)
 170:             8            256  java.math.RoundingMode (java.base@26.0.1)
 171:             8            256  java.util.Hashtable$Entry (java.base@26.0.1)
 172:             6            240  java.io.FileDescriptor (java.base@26.0.1)
 173:             6            240  java.lang.invoke.LambdaForm$BasicType (java.base@26.0.1)
 174:            10            240  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@26.0.1)
 175:            10            240  java.nio.charset.CoderResult (java.base@26.0.1)
 176:            10            240  java.nio.file.StandardOpenOption (java.base@26.0.1)
 177:            10            240  java.time.ZoneOffset (java.base@26.0.1)
 178:             6            240  java.util.EnumMap (java.base@26.0.1)
 179:             6            240  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@26.0.1)
 180:             1            224  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@26.0.1)
 181:             4            224  [Ljava.time.ZoneOffset; (java.base@26.0.1)
 182:             7            224  java.io.File (java.base@26.0.1)
 183:             7            224  java.lang.System$Logger$Level (java.base@26.0.1)
 184:             7            224  sun.util.resources.Bundles$CacheKey (java.base@26.0.1)
 185:             9            216  ExperimentConfig$DatasetSpec
 186:             3            216  sun.security.provider.NativePRNG$RandomIO (java.base@26.0.1)
 187:            13            208  java.util.concurrent.atomic.AtomicInteger (java.base@26.0.1)
 188:             4            200  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@26.0.1)
 189:             2            200  [Ljava.text.DateFormat$Field; (java.base@26.0.1)
 190:             5            200  java.security.CodeSource (java.base@26.0.1)
 191:             5            200  java.util.WeakHashMap$Entry (java.base@26.0.1)
 192:             5            200  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@26.0.1)
 193:             3            192  [Lsun.invoke.util.Wrapper; (java.base@26.0.1)
 194:             6            192  java.lang.ref.WeakReference (java.base@26.0.1)
 195:             3            192  java.net.URL (java.base@26.0.1)
 196:             3            192  java.nio.DirectByteBufferR (java.base@26.0.1)
 197:             6            192  java.security.ProtectionDomain (java.base@26.0.1)
 198:             6            192  java.time.format.TextStyle (java.base@26.0.1)
 199:            12            192  java.util.Collections$SingletonSet (java.base@26.0.1)
 200:             6            192  java.util.ImmutableCollections$MapN (java.base@26.0.1)
 201:             8            192  jdk.internal.classfile.impl.AnnotationImpl (java.base@26.0.1)
 202:             4            192  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@26.0.1)
 203:             3            176  [Ljava.time.LocalDateTime; (java.base@26.0.1)
 204:             2            176  java.text.DecimalFormatSymbols (java.base@26.0.1)
 205:             2            176  java.util.regex.Pattern (java.base@26.0.1)
 206:             1            168  [[Ljava.math.BigInteger; (java.base@26.0.1)
 207:             3            168  java.io.FileCleanable (java.base@26.0.1)
 208:             3            168  java.nio.HeapByteBuffer (java.base@26.0.1)
 209:             7            168  java.util.concurrent.atomic.AtomicLong (java.base@26.0.1)
 210:             7            168  jdk.internal.classfile.impl.UnboundAttribute$UnboundRuntimeVisibleAnnotationsAttribute (java.base@26.0.1)
 211:             3            168  sun.util.calendar.ZoneInfo (java.base@26.0.1)
 212:             2            160  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@26.0.1)
 213:             2            160  [Ljava.lang.constant.DirectMethodHandleDesc$Kind; (java.base@26.0.1)
 214:             2            160  [Ljava.util.WeakHashMap$Entry; (java.base@26.0.1)
 215:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@26.0.1)
 216:             5            160  java.net.InetAddress$InetAddressHolder (java.base@26.0.1)
 217:             5            160  java.util.RegularEnumSet (java.base@26.0.1)
 218:             2            160  java.util.concurrent.ThreadPoolExecutor (java.base@26.0.1)
 219:             5            160  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@26.0.1)
 220:             4            160  sun.util.locale.provider.LocaleResources (java.base@26.0.1)
 221:             1            152  EHAUSM_Inc
 222:             1            144  [Ljava.util.concurrent.ForkJoinPool$WorkQueue; (java.base@26.0.1)
 223:             6            144  java.lang.Thread$State (java.base@26.0.1)
 224:             3            144  java.lang.ThreadGroup (java.base@26.0.1)
 225:             3            144  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@26.0.1)
 226:             3            144  java.lang.invoke.DirectMethodHandle$Accessor (java.base@26.0.1)
 227:             2            144  java.lang.reflect.Constructor (java.base@26.0.1)
 228:             9            144  java.nio.charset.Charset$5 (java.base@26.0.1)
 229:             1            144  java.text.DecimalFormat (java.base@26.0.1)
 230:             9            144  java.util.Collections$UnmodifiableSet (java.base@26.0.1)
 231:             3            144  java.util.Hashtable (java.base@26.0.1)
 232:             6            144  jdk.internal.perf.PerfCounter (java.base@26.0.1)
 233:             1            136  [Ljava.time.temporal.ChronoField; (java.base@26.0.1)
 234:             1            128  [Ljava.lang.reflect.ClassFileFormatVersion; (java.base@26.0.1)
 235:             3            128  [Ljava.util.Hashtable$Entry; (java.base@26.0.1)
 236:             4            128  java.lang.Package (java.base@26.0.1)
 237:             4            128  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@26.0.1)
 238:             4            128  java.lang.invoke.MethodHandles$Lookup (java.base@26.0.1)
 239:             4            128  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@26.0.1)
 240:             4            128  jdk.internal.loader.NativeLibraries (java.base@26.0.1)
 241:             4            128  jdk.internal.logger.BootstrapLogger$LoggingBackend (java.base@26.0.1)
 242:             4            128  jdk.internal.util.ClassFileDumper (java.base@26.0.1)
 243:             1            120  [Ljava.lang.classfile.Opcode$Kind; (java.base@26.0.1)
 244:             3            120  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@26.0.1)
 245:             3            120  [Ljava.lang.invoke.LambdaForm$BasicType; (java.base@26.0.1)
 246:             5            120  java.lang.StringConcatHelper$Concat1 (java.base@26.0.1)
 247:             5            120  java.lang.classfile.AttributeMapper$AttributeStability (java.base@26.0.1)
 248:             3            120  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite (java.base@26.0.1)
 249:             1            120  java.lang.ref.Finalizer$FinalizerThread (java.base@26.0.1)
 250:             5            120  java.time.format.SignStyle (java.base@26.0.1)
 251:             5            120  java.util.Collections$UnmodifiableRandomAccessList (java.base@26.0.1)
 252:             5            120  java.util.stream.StreamOpFlag$Type (java.base@26.0.1)
 253:             1            120  jdk.internal.misc.InnocuousThread (java.base@26.0.1)
 254:             5            120  jdk.internal.util.ReferencedKeyMap (java.base@26.0.1)
 255:             3            120  jdk.internal.vm.SharedThreadContainer (java.base@26.0.1)
 256:             1            112  [Ljava.time.LocalTime; (java.base@26.0.1)
 257:             1            112  java.lang.ref.Reference$ReferenceHandler (java.base@26.0.1)
 258:             2            112  java.nio.DirectIntBufferRU (java.base@26.0.1)
 259:             2            112  java.security.Security$1 (java.base@26.0.1)
 260:             1            112  java.util.jar.JarFile$JarFileEntry (java.base@26.0.1)
 261:             2            104  [Lsun.util.logging.PlatformLogger$Level; (java.base@26.0.1)
 262:             1            104  jdk.internal.loader.ClassLoaders$AppClassLoader (java.base@26.0.1)
 263:             1            104  jdk.internal.loader.ClassLoaders$BootClassLoader (java.base@26.0.1)
 264:             1            104  jdk.internal.loader.ClassLoaders$PlatformClassLoader (java.base@26.0.1)
 265:             1            104  sun.security.jca.ProviderList$1 (java.base@26.0.1)
 266:             1            104  sun.security.provider.Sun (java.base@26.0.1)
 267:             2             96  [Ljava.lang.System$Logger$Level; (java.base@26.0.1)
 268:             6             96  [Ljava.security.Principal; (java.base@26.0.1)
 269:             1             96  [Lsun.util.locale.BaseLocale; (java.base@26.0.1)
 270:             3             96  java.lang.Runtime$Version (java.base@26.0.1)
 271:             4             96  java.lang.String$$StringConcat/0x00000f0001045c00 (java.base@26.0.1)
 272:             3             96  java.lang.constant.DynamicConstantDesc$AnonymousDynamicConstantDesc (java.base@26.0.1)
 273:             4             96  java.lang.module.ModuleDescriptor$Opens (java.base@26.0.1)
 274:             3             96  java.net.Inet6Address$Inet6AddressHolder (java.base@26.0.1)
 275:             4             96  java.time.format.DateTimeFormatterBuilder$OffsetIdPrinterParser (java.base@26.0.1)
 276:             4             96  java.time.format.DateTimeFormatterBuilder$SettingsParser (java.base@26.0.1)
 277:             3             96  java.util.Collections$UnmodifiableMap (java.base@26.0.1)
 278:             2             96  java.util.Locale$Category (java.base@26.0.1)
 279:             2             96  java.util.WeakHashMap (java.base@26.0.1)
 280:             4             96  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@26.0.1)
 281:             4             96  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@26.0.1)
 282:             4             96  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@26.0.1)
 283:             4             96  java.util.regex.Pattern$Qtype (java.base@26.0.1)
 284:             3             96  java.util.stream.MatchOps$MatchKind (java.base@26.0.1)
